C_F,Type,Full_Text
ĐHĐD,ORG,Đại học Đông Dương
ĐHDL,ORG,Đại học Dân lập
ĐHĐN,ORG,Đại học Đà nẵng
ĐHGTVT,ORG,Đại học Giao thông Vận tải
ĐHHB,ORG,Đại học Hồng Bàng
ĐHHVN,ORG,Đại học Hàng hải Việt Nam
ĐHKH,ORG,Đại học Khoa học
ĐHKHTN,ORG,Đại học Khoa học tự nhiên
ĐHKHTNHN,ORG,Đại học Khoa học tự nhiên Hà nội
ĐHKHXH,ORG,Đại học Khoa học Xã hội
ĐHKT,ORG,Đại học Kỹ thuật
DHKTCN,ORG,Đại học Kỹ thuật Công nghệ
ĐHKTCN,ORG,Đại học Kỹ thuật Công nghệ
ĐHKTQD,ORG,Đại học Kinh tế Quốc dân
ĐHN,,"Điện hạt nhân, đồng hồ nước"
ĐHNT,ORG,Đại học Nha Trang
ĐHQG,ORG,Đại học Quốc gia
ĐHQGHN,ORG,Đại học Quốc gia Hà nội
DHS,PER,du học sinh
ĐHSP,ORG,Đại học Sư phạm
ĐK,,Đăng ký
ĐKDT,,đăng ký dự thi
ĐKĐT,,điện kế điện tử
ĐKHK,,Đăng ký hộ khẩu
ĐKKD,,Đăng ký kinh doanh
ĐKKH,,đăng ký kết hôn
ĐKVĐ,,Đương kim vô địch
ĐKVN,,Điền kinh Việt Nam
ĐKXT,,đăng ký xét tuyển 
DL,,Du lịch
ĐL,,đo lường
ĐLTP,,điện kế điện tử 
ĐMN,,Đá Mỹ Nghệ
DN,,Doanh nghiệp
ĐN,LOC,"Đồng nai, Đà nẵng"
ĐNA,LOC,Đông nam á
ĐNÁ,LOC,Đông Nam Á
DNNN,,Doanh nghiệp nhà nước
DNT,,Doanh nghiệp trẻ 
DNTN,,Doanh nghiệp Tư nhân
DNVN,,doanh nghiệp Việt Nam
DNVVN,,doanh nghiệp vừa và nhỏ
ĐRL,,điểm rèn luyện
DS,,dân số
ĐS,,đường sắt
ĐSQ,ORG,đại sứ quán
DT,,dự tuyển
ĐT,,Đào tạo
ĐTA,,đồng tính ái
ĐTB,,điểm trung bình
ĐTĐ,,đái tháo đường
ĐTDĐ,,Điện thoại di động
DTHT,,dạy thêm học thêm
ĐTHVN,ORG,Đài truyền hình Việt Nam
ĐTLA,,Đồng tính luyến ái
ĐTLT,,đào tạo liên thông
ĐTNN,,đầu tư nước ngoài
DTQG,ORG,Đội tuyển quốc gia
ĐTQG,ORG,Đội tuyển quốc gia
ĐTTX,,Đào tạo từ xa
ĐTTXQM,,Đào tạo từ xa Qua mạng
ĐTV,PER,điều tra viên
ĐTVHD,,động thực vật hoang dã
ĐTVN,ORG,Đội tuyển Việt Nam
ĐTXDCB,,đầu tư xây dựng cơ bả
DV,,"Dịch vụ, Diễn viên"
ĐV,PER,Đoàn viên
ĐVHT,,Đơn vị học trình
DVTMCM,ORG,dịch vụ thương mại Cà Mau
ĐVTN,PER,đoàn viên thanh niên
DVTT,,"Dịch vụ trực tuyến, dịch vụ thông tin"
ĐVTTN,ORG,Đoàn viên thanh thiếu nhi
ĐVƯT,PER,đoàn viên ưu tú
DVVL,,dịch vụ việc làm
EU,ORG,Liên minh châu Âu
EVN,ORG,Công ty Viễn thông điện lực
FIFA,ORG,Liên đoàn bóng đá thế giới
GATT,,Hiệp định chung về Thuế quan và Thương mại 
GCMND,,giấy chứng minh nhân dân
GCN,,Giấy chứng nhận
GCNĐKKD,,Giấy chứng nhận đăng ký kinh doanh
GCNKQT,,giấy chứng nhận kết quả thi 
GCNQSD,,giấy chứng nhận quyền sử dụng
GCNQSDĐ,,Giấy chứng nhận quyền sử dụng đất
GCNQSDĐƠ,,Giấy chứng nhận quyền sử dụng đất ở
GCNQSH,,Giấy chứng nhận quyền sở hữu
GCNQSHN,,Giấy chứng nhận quyền sở hữu nhà
GCNQSHNƠ,,Giấy chứng nhận quyền sở hữu nhà ở
GCNSK,,giấy chứng nhận sức khỏe
GCQ,,giấy chủ quyền
GD,,Giáo dục
GĐ,PER,Giám đốc
GDĐH,,giáo dục dục đại học
GĐĐH,,giám đốc điều hành
GDĐT,,Giáo dục & Đào tạo
GDGT,,giáo dục giới tính 
GDNN,,giáo dục nghề nghiệp
GĐT,ORG,Gạch Đồng Tâm
GĐTLA,ORG,Gạch Đồng Tâm Long An
GĐTT,PER,Giám đốc thông tin
GDTX,,Giáo dục thường xuyên 
GHPGVN,ORG,Giáo hội Phật giáo Việt Nam
GK,,Giáo khoa
GKQT,,chứng nhận kết quả thi
GL,LOC,Gia Lai
GMD,PER,gái mại dâm 
GP,,Giấy phép
GPC,ORG,Công ty Dịch vụ Viễn thông
GPLHĐB,,giấy phép lưu hành đặc biệt
GPLX,,Giấy phép lái xe
GPNK,,phép nhập khẩu
GPTM,,giải phẫu thẩm mỹ
GPXD,,Giấy phép xây dựng
GS,PER,Giáo sư
GSTS,PER,Giáo sư Tiến sỹ
GSTSKH,PER,Giáo sư Tiến sỹ Khoa học
GSTT,PER,giám sát trọng tài
GT,,"Giao thông , Giá trị"
GTCC,,Giao thông Công chánh
GTGT,,Giá trị gia tăng
GTMT,,giãn tĩnh mạch tinh
GTVT,,Giao thông Vận tải
GV,PER,"Giáo viên, Giảng viên"
GVCN,PER,Giáo viên chủ nhiệm
GVG,PER,giáo viên giỏi 
GVMN,PER,"giáo viên mầm non, giáo viên miền núi"
GVTH,PER,giáo viên tiểu học
GVTN,PER,giáo viên tình nguyện
HAGL,ORG,Hoàng Anh Gia Lai
HB,,Học bổng
HBV,,virus viêm gan B
HC,,"hành chính, huy chương"
HCB,,Huy chương bạc
HCĐ,,Huy chương đồng
HCM,PER,Hồ Chí Minh
HCTC,,học chế tín chỉ 
HCTL,,hội chợ triển lăm
HCV,,Huy chương vàng
HCVL,,Hội chợ việc làm 
HD,,Hướng dẫn
HĐ,,"Hội đồng, Hợp đồng"
HĐBA,ORG,Hội đồng Bảo an Liên Hiệp Quốc
HĐCD,ORG,Hội đồng chức danh
HĐCDGS,ORG,Hội đồng chức danh giáo sư
HĐCDGSCS,ORG,Hội đồng chức danh giáo sư cơ sở
HĐCDGSN,ORG,Hội đồng Chức danh giáo sư ngành
HĐCDGSNN,ORG,Hội đồng Chức danh giáo sư nhà nước
HĐCT,ORG,hội đồng coi thi
HĐĐB,ORG,Hội đồng Đền bù
HĐĐG,ORG,Hội đồng định giá
HĐH,,Hệ điều hành
HĐKT,,hợp đồng kinh tế
HĐLĐ,,Hợp đồng lao động 
HĐNDTP,ORG,Hội đồng nhân dân thành phố
HĐNT,,hội đồng nghệ thuật
HĐQT,,Hội đồng Quản trị
HĐT,ORG,"hội đồng trường , hội đồng thi "
HĐTĐ,ORG,Hội đồng thẩm định
HĐTS,ORG,Hội đồng tuyển sinh
HĐTT,ORG,Hội đồng Trọng tài
HDV,PER,hướng dẫn viên
HĐXX,ORG,Hội đồng xét xử
HH,PER,Hoa hậu
HHTG,PER,Hoa hậu Thế giới
HHVN,PER,Hoa hậu Việt Nam
HK,,Học kỳ
HKDD,,Hàng không dân dụng
HKDDVN,ORG,Hàng không dân dụng Việt Nam
HKHKT,ORG,hội khoa học kỹ thuật
HKHKTVN,ORG,hội khoa học kỹ thuật Việt Nam
HKTT,,hộ khẩu thường trú
HL,,huấn luyện
HLBĐ,ORG,Hoa Lâm Bình Định
HLQG,,Huấn luyện Quốc gia
HLTTQG,ORG,Trung tâm huấn luyện thể thao quốc gia
HLV,PER,Huấn luyện viên
HMNĐ,,hiến máu nhân đạo
HN,,"Hà Nội, Hội nghị"
HND,ORG,Hội nông dân
HNGĐ,,hôn nhân gia đình
HNHT,ORG,hội nghị hiệp thương 
HNV,ORG,Hội Nhà văn
HP,,"Hải phòng, Học phần"
HPHN,ORG,Hòa Phát Hà Nội 
HQ,,"Hải quan, Hàn quốc"
HQĐT,ORG,Hải quan điện tử
HQHP,ORG,Hải quan Hải phòng
HS,PER,Học sinh
HSBC,PER,Học sinh bán công
HSĐKDT,,Hồ sơ đăng ký dự thi
HSDPA,,Truy nhập gói đường xuống tốc độ cao
HSG,PER,học sinh giỏi
HSGQG,PER,học sinh giỏi Quốc gia
HSGQT,PER,học sinh giỏi Quốc tế
HSPT,PER,học sinh phổ thông
HSSV,PER,Học sinh sinh viên
HSV,ORG,Hội sinh viên
HTCĐ,,học tập cộng đồng
HTXDVNN,ORG,Hợp tác xã dịch vụ nông nghiệp
HUD,ORG,Tổng công ty Đầu tư phát triển nhà và đô thị 
HV,,Học viên
HVANND,ORG,Học viện An ninh Nhân dân
HVBCVT,ORG,Học viện Bưu chính Viễn thông
HVCH,ORG,Học viên Cao học
HVCNBCVT,ORG,Học viện Công nghệ Bưu chính Viễn thông
HVKHQS,ORG,Học viện Khoa học Quân sự
HVN,ORG,Honda Việt Nam
HVNCL,,Hàng Việt Nam chất lượng
HVNCLC,,Hàng Việt Nam chất lượng cao
HVNH,ORG,Học viện Ngân hàng
IMF,,Quỹ tiền tệ quốc tế
KBNN,ORG,Kho bạc Nhà nước
KBS,ORG,Kênh truyền hình TW Hàn Quốc
KCB,,khám chữa bệnh
KCN,,Khu công nghiệp
KCX,,Khu chế xuất
KDC,,khu dân cư
KĐCL,,Kiểm định chất lượng
KĐCLGD,,Kiểm định chất lượng Giáo dục
KDCN,,Kiểu dáng công nghiệp
KDDV,,kinh doanh dịch vụ
KDĐV,,Kiểm dịch động vật
KDHĐC,,kinh doanh hàng đa cấp
KDL,,Khu du lịch
KDN,,Kinh doanh nhà
KDNPN,ORG,Kinh doanh nhà Phú Nhuận
KĐS,,Khu đường sông
KĐT,,Khu đô thị
KĐTM,,Khu đô thị mới
KĐTNTL,ORG,Đô thị Nam Thăng Long
KH,,Kế hoạch
KHCN,,Khoa học Công nghệ
KHĐT,,Kế hoạch Đầu tư
KHKD,,Kế hoạch kinh doanh
KHKT,,Khoa học Kỹ thuật
KHKTHN,,Khoa học Kỹ thuật Hạt nhân
KHKTHS,,Khoa học kỹ thuật hình sự
KHKTNN,,Khoa học kỹ thuật Nông nghiệp
KHKTNNMN,ORG,Khoa học kỹ thuật Nông nghiệp miền Nam
KHLS,,Khoa học lịch sử
KHTN,,Khoa học Tự nhiên
KHXH,,Khoa học Xãn hội
KK,,Khuyến khích
KKT,,khu kinh tế
KL,,Kết luận
KLĐT,,kết luận điều tra
KLQG,,Kỷ lục quốc gia 
KN,,Khuyến nông
KNTC,,khiếu nại tố cáo
KP,,khu phố
KS,PER,"Kỹ sư, Khách sạn"
KSND,ORG,Kiểm sát nhân dân
KSNDTC,ORG,Kiểm sát Nhân dân Tối cao
KST,,ký sinh trùng
KSV,PER,kiểm sát viên
KTM,,Khu thương mại
KTNN,,Kinh tế nhà nước
KTQD,,kinh tế quốc dân
KTQDHN,ORG,Kinh tế Quốc dân Hà Nội
KTS,PER,Kiến trúc sư
KTTV,,khí tượng thủy văn
KTV,PER,Kỹ thuật viên
KTX,,Ký túc xá
KV,,Khu vực
KV1,LOC,Khu vực 1
KV2,LOC,Khu vực 2
KV3,LOC,Khu vực 3
LB,,Liên bang
LCT,,"Luật Cạnh tranh, Luật công ty"
LĐ,,Lao động
LĐBĐ,ORG,Liên đoàn bóng đá
LĐBĐVN,ORG,Liên đoàn bóng đá Việt Nam
LĐLĐ,ORG,Liên đoàn Lao động
LDP,ORG,Đảng Dân chủ Tự do
LĐTB,,Lao động Thương binh
LĐTBXH,,Lao động Thương binh Xã hội
LH,,"Liên hiệp, Liên hoan"
LHP,,Liên hoan phim
LHPN,ORG,Liên hiệp Phụ nữ
LHQ,,"Liên hiệp quốc, Lên hợp quốc"
LHS,PER,lưu học sinh
LHTN,ORG,Liên hiệp Thanh niên
LHTNVN,ORG,Hội Liên hiệp Thanh niên Việt Nam
LL,,lực lượng
LLLĐ,,Lực lượng lao động
LS,PER,Luật sư
LSQ,PER,Lãnh sự quán
LTQĐTD,,lây truyền qua đường tình dục
MB,ORG,Ngân hàng TMCP quân đội
MBH,,mũ bảo hiểm
MHX,,Mùa hè xanh
MS,,Mã số
MT,,"Môi trường, Mặt trận"
MTĐT,,Máy tính điện tử
MTTQ,,Mặt trận tổ quốc
MTTQVN,ORG,Mặt trận tổ quốc Việt Nam
MTXT,,Máy tính xách tay
NC,,Nghiên cứu
NCC,,nhà cung cấp
NCKH,,nghiên cứu khoa học
NCL,,ngoài công lập
NCS,PER,Nghiên cứu sinh
NCTO,ORG,Hội đồng Các Tổ chức Dệt may Quốc gia Mỹ 
NCTT,,Nghiên cứu thị trường
ND,,Nhân dân
NĐ,,Nghị định
NDC,ORG,Trung tâm dữ liệu Viễn thám Quốc gia
NDT,,Nhân dân tệ
NĐT,,Nhà đầu tư
NĐVN,PER,người đẹp Việt Nam
NH,,Ngân hàng
NHCSXH,ORG,Ngân hàng Chính sách xã hội 
NHCTCN,ORG,Ngân hàng Công thương Chi nhánh
NHCTHP,ORG,Ngân hàng Công thương Hải Phòng
NHCTVN,ORG,Ngân hàng Công thương Việt Nam
NHĐA,ORG,Ngân hàng Đông Á
NHĐÁ,ORG,Ngân hàng Đông Á
NHĐT,ORG,Ngân hàng Đầu tư
NHĐTPT,ORG,Ngân hàng Đầu tư phát triển
NHK,ORG,Đài truyền hình quốc gia Nhật Bản
NHNN,ORG,Ngân hàng nhà nước
NHNNo,ORG,Ngân hàng Nông nghiệp và Phát triển Nông thôn
NHNNPTNT,ORG,Ngân hàng Nông nghiệp và Phát triển Nông thôn
NHNNVN,ORG,Ngân hàng Nhà nước Việt Nam
NHNoVN,ORG,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam
NHNT,ORG,Ngân hàng Ngoại thương
NHRC,ORG,Ủy ban Nhân quyền quốc gia
NHTM,ORG,Ngân hàng Thương mại
NHTMCP,,ngân hàng thương mại cổ phần
NHTMNN,,ngân hàng thương mại nhà nước
NHTMQD,,ngân hàng thương mại quốc doanh
NHTQ,ORG,Ngân hàng Trung ương Trung Quốc
NHTSA,ORG,Cục an toàn xa lộ quốc gia Mỹ
NHTƯ,ORG,Ngân hàng Trung ương 
NHTW,ORG,Ngân hàng Trung ương 
NK,,Nhập khẩu
NKBV,,nhiễm khuẩn bệnh viện
NKKN,LOC,Nam Kỳ Khởi Nghĩa
NKNV,,Năng khiếu Nghiệp vụ
NKT,PER,người khuyết tật
NL,,Năng lượng
NLĐ,PER,Người lao động
NLMT,,năng lượng mặt trời 
NLS,,nông lâm sản
NLTT,,năng lượng tái tạo
NMĐ,ORG,nhà máy điện
NN,,Nhà nước
NNCĐDC,PER,Nạn nhân chất độc da cam
NNPTNT,,Nông nghiệp và Phát triển nông thôn
NPP,,Nhà phân phối
NQ,,Nghị quyết
NQD,,ngoài quốc doanh
NS,PER,Nghệ sỹ
NSND,PER,Nghệ sỹ nhân dân
NSNN,,ngân sách nhà nước 
NST,,nhiễm sắc thể
NSƯT,PER,Nghệ sỹ ưu tú
NTBD,,Nghệ thuật biểu diễn
NTD,PER,"Nhà tuyển dụng, người tiêu dùng"
NTK,PER,nhà thiết kế
NV,,"Nhân viên, Nguyện vọng"
NV1,,Nguyện vọng 1
NV2,,Nguyện vọng 2
NV3,,Nguyện vọng 3
NVH,ORG,Nhà văn hóa
NVHTN,ORG,Nhà Văn hóa Thanh niên 
NXB,ORG,Nhà xuất bản
NXBGD,ORG,Nhà xuất bản Giáo dục
NXBKHXH,ORG,Nhà xuất bản Khoa học Xã hội
NXBQĐND,ORG,Nhà xuất bản Quân đội Nhân dân
NXBTN,ORG,Nhà xuất bản Tự nhiên
NXBVHTT,ORG,Nhà xuất bản Văn hóa Nghệ thuật
PC14,ORG,Phòng Cảnh sát điều tra tội phạm về trật tự xã hội
PC15,ORG,Phòng Cảnh sát điều tra tội phạm về quản lý kinh tế và chức vụ
PC16,ORG,Phòng Cảnh sát điều tra
PC17,ORG,Phòng cảnh sát phòng chống tội phạm ma tuý
PCBL,,phòng chống bão lụt
PCBLTKCN,,phòng chống bão lụt và tìm kiếm cứu nạn
PCBTH,,phổ cập bậc trung học
PCC,ORG,Phòng công chứng
PCCC,,Phòng cháy chửa cháy
PCGD,,phổ cập giáo dục
PCGDBTH,,phổ cập giáo dục bậc trung học
PCGDTH,,phổ cập giáo dục tiểu học
PCGDTHCS,,phổ cập giáo dục trung học cơ sở
PCLBMN,,phòng chống lụt bão miền Nam
PCLBTƯ,,phòng chống lụt bão Trung ương
PCLBTW,,phòng chống lụt bão Trung ương
PCT,PER,"Phó chủ tịch, "
PCTH,,phổ cập tiểu học
PCTHCS,,phổ cập trung học cơ sở
PCTN,,Phòng chống tệ nạn
PCTNXH,,Phòng chống tệ nạn xã hội
PCTPCNC,,Phòng chống tội phạm công nghệ cao
PGĐ,PER,Phó giám đốc
PGHH,ORG,Phật giáo Hòa Hảo
PGS,PER,Phó Giáo sư
PHHS,PER,phụ huynh học sinh
PL,,Pháp luật
PLO,ORG,Tổ chức Giải phóng Palestin
PM,,phần mềm
PMU,ORG,Ban quản lý dự án
PMU18,ORG,Ban quản lý dự án 18
PN,,Phụ nữ
PNTR,,Quy chế Thương mại bình thường vĩnh viễn
PP,,phương pháp
PS,,Phóng sự
PTCS,,Phổ thông cơ sở
PTN,,phòng thí nghiệm
PTNT,,Phát triển Nông thôn
PTSC,ORG,Công ty Dịch vụ Kỹ thuật dầu khí
PTT,PER,Phó thủ tướng
PTTH,,Phổ thông trung học
PTTM,,Phẫu thuật thẩm mỹ
PTTT,,Phát triển trẻ thơ
PTV,PER,Phát thanh viên
PV,PER,"Phóng viên, Phỏng vấn"
PY,LOC,Phú Yên
QBLTD,,Quĩ bảo lãnh tín dụng
QC,,Quy chế
QCDCCS,,quy chế dân chủ cơ sở
QCGNHH,,Quy chế ghi nhãn hàng hóa
QCHQ,PER,quan chức hải quan
QCKDTXD,,Quy chế kinh doanh thép xây dựng
QCKT,,quy chuẩn kĩ thuật
QĐ,,Quyết định
QĐND,,Quân đội nhân dân
QG,,Quốc gia
QH,,Quốc hội
QHTD,,Quan hệ tình dục
QK,,Quân khu
QL,,Quản lý
QLD,,Quản lý dược
QLDA,,Quản lý dự án
QLĐT,,Quản lý Đào tạo
QLTT,,Quản lý thị trường
QN,LOC,Quảng Ninh
QSD,,quyền sử dụng
QSDĐ,,quyền sử dụng đất
QTKD,,Quản trị Kinh doanh
RLC,,rối loạn cương
RLCD,,rối loạn cương dương
SARS,,"SARS, Hội chứng hô hấp cấp tính nặng"
SBD,,Số báo danh
SBS,ORG,Công ty Chứng khoán Ngân hàng Sài Gòn Thương Tín
SD,,sử dụng
SDĐ,,sử dụng đất
SDĐNN,,sử dụng đất nông nghiệp
SĐH,,sau đại học 
SĐK,,số đăng ký
SĐNĐ,ORG,Sông Đà Nam Định
SĐT,,số điện thoại
SĐTLA,ORG,Sơn Đồng Tâm Long An
SG,LOC,Sài Gòn
SGD,ORG,Sở giáo dục
SGGP,,Sài gòn giải phóng
SGK,,Sách giáo khoa
SGT,ORG,Saigontourist 
SGTT,ORG,Sài Gòn Tiếp Thị 
SGTVT,ORG,Sở Giao thông Vận tải
SH,,Sinh hoạt
SHNN,,Sở hữu nhà nước
SHTD,,sinh hoạt tình dục
SHTT,,sở hữu trí tuệ 
SJC,ORG,Công Ty Vàng Bạc Đá Quý TP Hồ Chí Minh
SK,,Sân khấu
SKHCN,ORG,Sở Khoa học Công nghệ
SKHCNMT,ORG,Sở Khoa học Công nghệ và Môi trường
SKHĐT,ORG,Sở Kế hoạch và Đầu tư
SKSS,,sức khỏe sinh sản
SLNA,ORG,Sông Lam Nghệ An
SMĐH,,Sao mai Điểm hẹn
SN,,"Sinh năm, sinh ngày"
SNN,ORG,sở Nông nghiệp
SP,,"Sư phạm, Sản phẩm"
SPKT,,Sư phạm kỹ thuật
SS,,Sĩ số
SSA,ORG,Hiệp hội Tôm miền Nam nước Mỹ
STB,ORG,Ngân hàng thương mại cổ phần Sài Gòn Thương Tín
SV,PER,Sinh viên
SVĐ,,Sân vận động
SVĐV,,Sao Vàng Đất Việt 
SVHS,PER,Sinh viên học sinh
SV–HS,PER,Sinh viên học sinh
SVNCKH,PER,Sinh viên nghiên cứu khoa học
SVTN,PER,Sinh viên tình nguyện
SVVN,PER,Sinh viên Việt Nam
SX,,Sản xuất
SXH,,sốt xuất huyết
SYLL,,Sơ yếu lý lịch
TACN,,thức ăn chăn nuôi
TAND,ORG,Tòa án nhân dân
TANDTC,ORG,Tòa án Nhân dân Tối cao
TBD,LOC,Thái Bình Dương 
TBKTSG,ORG,Thời báo kinh tế Sài Gòn 
